index,seismic,seismoacoustic,shift,genergy,gpuls,gdenergy,gdpuls,ghazard,nbumps,nbumps2,nbumps3,nbumps4,nbumps5,energy,maxenergy
0,a,a,N,15180.0,48.0,-72.0,-72.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,a,a,N,14720.0,33.0,-70.0,-79.0,a,1.0,0.0,1.0,0.0,0.0,2000.0,2000.0
2,a,a,N,8050.0,30.0,-81.0,-78.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,a,a,N,28820.0,171.0,-23.0,40.0,a,1.0,0.0,1.0,0.0,0.0,3000.0,3000.0
4,a,a,N,12640.0,57.0,-63.0,-52.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,a,a,W,63760.0,195.0,-73.0,-65.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,a,a,W,207930.0,614.0,-6.0,18.0,a,2.0,2.0,0.0,0.0,0.0,1000.0,700.0
7,a,a,N,48990.0,194.0,-27.0,-3.0,a,1.0,0.0,1.0,0.0,0.0,4000.0,4000.0
8,a,a,N,100190.0,303.0,54.0,52.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,a,a,W,247620.0,675.0,4.0,25.0,a,1.0,1.0,0.0,0.0,0.0,500.0,500.0
10,a,a,N,41950.0,135.0,-39.0,-36.0,a,1.0,0.0,1.0,0.0,0.0,5000.0,5000.0
11,a,a,N,53250.0,140.0,-19.0,-31.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,a,a,W,166180.0,448.0,-30.0,-19.0,a,1.0,1.0,0.0,0.0,0.0,400.0,400.0
13,a,a,N,64540.0,215.0,0.0,9.0,a,1.0,0.0,1.0,0.0,0.0,6000.0,6000.0
14,a,a,N,75670.0,207.0,18.0,4.0,a,1.0,1.0,0.0,0.0,0.0,600.0,600.0
15,a,b,W,225040.0,575.0,-3.0,5.0,a,2.0,0.0,2.0,0.0,0.0,7000.0,6000.0
16,a,b,N,31290.0,117.0,-52.0,-41.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,a,b,N,22890.0,81.0,-63.0,-58.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,a,b,N,13170.0,59.0,-77.0,-67.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,a,b,N,8900.0,38.0,-83.0,-77.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,a,a,N,13250.0,32.0,-71.0,-79.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,a,a,N,11710.0,70.0,-72.0,-47.0,a,1.0,0.0,1.0,0.0,0.0,4000.0,4000.0
22,a,a,N,10640.0,62.0,-68.0,-43.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,a,a,N,45630.0,155.0,49.0,52.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,a,a,W,424650.0,1069.0,1.0,7.0,a,2.0,0.0,2.0,0.0,0.0,6000.0,4000.0
25,a,a,N,38820.0,213.0,-82.0,-57.0,a,1.0,0.0,1.0,0.0,0.0,4000.0,4000.0
26,a,a,N,56960.0,200.0,-70.0,-58.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,a,a,W,212260.0,729.0,-50.0,-28.0,a,2.0,1.0,1.0,0.0,0.0,1400.0,1000.0
28,a,a,N,42950.0,172.0,-76.0,-61.0,a,1.0,0.0,1.0,0.0,0.0,6000.0,6000.0
