index,dst_port,protocol,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts/s,flow_pkts/s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts/s,bwd_pkts/s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down/up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts/b_avg,fwd_pkts/b_avg,fwd_blk_rate_avg,bwd_byts/b_avg,bwd_pkts/b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min
2983,443,6,6144803,10,12,646,3485,322,0,64.6,114.0333285,1432,0,290.4166667,476.4526989,672.2754171,3.580261239,292609.6667,1311763.252,6017361,0,6144803,682755.8889,2000561.039,6017432,751,6133015,557546.8182,1810937.929,6017379,0,0,0,0,0,212,252,1.627391472,1.952869767,0,1432,179.6086957,364.6904963,132999.1581,0,0,1,1,0,0,0,1,1,187.7727273,64.6,290.4166667,0,0,0,0,0,0,10,646,12,3485,8192,66,3,20,127371.0,0.0,127371,127371,6017361.0,0.0,6017361,6017361
2984,139,6,5990173,3,2,18,5,18,0,6.0,10.39230485,5,0,2.5,3.535533906,3.839621994,0.834700434,1497543.25,2994468.523,5989246,36,5990137,2995068.5,4234406.429,5989246,891,5990114,5990114.0,0.0,5990114,5990114,0,0,0,0,72,52,0.50082026,0.333880173,0,18,3.833333333,7.22264956,52.16666667,0,0,1,1,0,0,0,1,0,4.6,6.0,2.5,0,0,0,0,0,0,3,18,2,5,8192,280,1,20,891.0,0.0,891,891,5989246.0,0.0,5989246,5989246
2993,443,6,15707756,11,10,765,3895,409,0,69.54545455,130.4303367,1460,0,389.5,595.7128783,296.6687285,1.336919163,785387.8,2472723.96,9952845,1,15700000,1570775.6,3399243.93,9952845,25,10300000,1141241.556,3330744.132,10000000,1,0,0,0,0,232,208,0.70029099,0.636628173,0,1460,211.8181818,433.5466841,187962.7273,0,0,1,1,0,0,0,1,0,221.9047619,69.54545455,389.5,0,0,0,0,0,0,11,765,10,3895,8192,5113,5,20,165040.5,214849.4457,316962,13119,7688825.0,3201807.789,9952845,5424805
3010,443,6,20782327,8,7,738,3695,386,0,92.25,142.6832156,1460,0,527.8571429,675.6193279,213.3062385,0.721767105,1484451.929,5482558.782,20500000,0,20800000,2968903.857,7781619.314,20600000,62,20700000,3456165.5,8365888.812,20500000,0,0,0,0,0,172,152,0.384942456,0.336824649,0,1460,277.0625,494.7439026,244771.5292,0,0,1,1,0,0,0,1,0,295.5333333,92.25,527.8571429,0,0,0,0,0,0,8,738,7,3695,8192,7485,4,20,249085.0,0.0,249085,249085,20500000.0,0.0,20500000,20500000
3018,443,6,21538669,6,8,677,3695,388,0,112.8333333,155.7053842,1460,0,461.875,652.749446,202.9837591,0.649993739,1656820.692,5906293.861,21300000,0,142196,28439.2,25273.4651,47639,372,21500000,3070459.857,8044683.259,21300000,0,0,0,0,0,132,172,0.278568745,0.371424994,0,1460,291.4666667,507.9734058,258036.981,0,0,1,1,0,0,0,1,1,312.2857143,112.8333333,461.875,0,0,0,0,0,0,6,677,8,3695,8192,7515,3,20,224728.0,0.0,224728,224728,21300000.0,0.0,21300000,21300000
3023,443,6,20854972,6,8,705,3695,384,0,117.5,158.2728656,1460,0,461.875,652.749446,210.9808635,0.671302747,1604228.615,5673045.5,20500000,0,148619,29723.8,26436.72854,50019,348,20800000,2972495.0,7722324.472,20500000,0,0,0,0,0,132,172,0.287701177,0.38360157,0,1460,293.3333333,507.5588167,257615.9524,0,0,1,1,0,0,0,1,1,314.2857143,117.5,461.875,0,0,0,0,0,0,6,705,8,3695,8192,7487,3,20,370526.0,0.0,370526,370526,20500000.0,0.0,20500000,20500000
3057,80,6,115471618,16,14,443,706,432,0,27.6875,107.8175736,706,0,50.42857143,188.6864368,9.9504971,0.259804102,3981779.931,4883074.606,10000000,14,115000000,7698107.867,4149466.616,10000000,163,110000000,8477318.846,3756764.147,10000000,11668,0,0,0,0,332,424,0.138562188,0.121241914,0,706,37.06451613,146.3425059,21416.12903,0,0,1,1,0,0,0,1,0,38.3,27.6875,50.42857143,0,0,0,0,0,0,16,443,14,706,8192,172,12,20,19551.18182,24802.34168,94323,11470,9999124.909,13717.65361,10000000,9957783
3058,80,6,115761252,16,14,445,706,434,0,27.8125,108.3175694,706,0,50.42857143,188.6864368,9.94287795,0.259154073,3991767.31,4884916.58,10000000,15,116000000,7717416.8,4135179.864,10000000,171,110000000,8476761.538,3756638.52,10000000,11739,0,0,0,0,332,424,0.138215506,0.120938568,0,706,37.12903226,146.5227495,21468.91613,0,0,1,1,0,0,0,1,0,38.36666667,27.8125,50.42857143,0,0,0,0,0,0,16,445,14,706,8192,172,12,20,20662.63636,28851.26775,107645,11468,9997352.545,19952.79025,10000000,9937203
3060,80,6,119359894,18,15,883,1576,436,0,49.05555556,140.7724372,788,0,105.0666667,277.2702309,20.60155985,0.276474776,3729996.687,4746376.388,10000000,41,119000000,7021170.235,4387555.91,10000000,279,114000000,8117172.857,3851548.376,10000000,746,0,0,0,0,372,444,0.150804423,0.125670353,0,788,72.32352941,209.2010372,43765.07398,0,0,1,1,0,0,0,1,0,74.51515152,49.05555556,105.0666667,0,0,0,0,0,0,18,883,15,1576,8192,290,13,20,333363.8182,1066834.947,3549992,11225,9997592.909,20015.11822,10000000,9937256
3071,443,6,110691234,21,28,2146,3552,934,0,102.1904762,272.5339647,1400,0,126.8571429,365.9342902,51.47652433,0.442672814,2306067.375,4236126.504,10000000,0,111000000,5534009.75,5069182.257,10000000,256,111000000,4099250.481,4999263.232,10000000,0,0,0,0,0,432,568,0.18971692,0.252955894,0,1400,113.96,323.298116,104521.6718,0,0,1,1,0,0,0,1,1,116.2857143,102.1904762,126.8571429,0,0,0,0,0,0,21,2146,28,3552,8192,15381,15,20,68637.36364,142369.1526,468704,10915,9993198.545,24078.15023,10000000,9937219
