index,dst_port,protocol,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts/s,flow_pkts/s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts/s,bwd_pkts/s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down/up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts/b_avg,fwd_pkts/b_avg,fwd_blk_rate_avg,bwd_byts/b_avg,bwd_pkts/b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min
2989,135,6,5999651,3,2,32,0,32,0,10.66666667,18.47520861,0,0,0.0,0.0,5.333643574,0.833381808,1499912.75,2999054.203,5998494,37,5999576,2999788.0,4240810.695,5998494,1082,5999614,5999614.0,0.0,5999614,5999614,0,0,0,0,72,52,0.500029085,0.333352723,0,32,5.333333333,13.06394529,170.6666667,0,0,1,1,0,0,0,1,0,6.4,10.66666667,0.0,0,0,0,0,0,0,3,32,2,0,8192,2240,1,20,1082.0,0.0,1082,1082,5998494.0,0.0,5998494,5998494
3031,443,6,116201313,22,19,1163,4074,429,0,52.86363636,129.2797982,1380,0,214.4210526,454.0577932,45.06833757,0.352835944,2905032.825,4505900.651,10000000,1,116000000,5533395.857,4960304.399,10000000,30,111000000,6150916.444,5004725.344,10000000,1,0,0,0,0,452,388,0.189326604,0.16350934,0,1380,124.6904762,325.5029495,105952.1702,0,0,1,1,0,0,0,1,0,127.7317073,52.86363636,214.4210526,0,0,0,0,0,0,22,1163,19,4074,8192,5261,16,20,63791.5,127818.9039,469668,26440,9619648.75,1310722.773,10000000,5457992
3032,443,6,116203435,27,56,1677,39074,518,0,62.11111111,148.4790411,1380,0,697.75,654.68197,350.6867073,0.7142646,1417115.061,3453431.171,10000000,0,116000000,4469362.885,4968156.064,10000000,13,111000000,2013065.291,4046012.115,10000000,0,0,0,0,0,552,1128,0.232351135,0.481913465,0,1380,485.1309524,618.4428128,382471.5128,0,0,1,1,0,0,0,1,2,490.9759036,62.11111111,697.75,0,0,0,0,0,0,27,1677,56,39074,8192,5775,17,20,58436.25,108537.8084,403085,26504,9625182.25,1312259.019,10000000,5458201
3033,443,6,116204632,35,67,3467,60932,652,0,99.05714286,204.8669501,1380,0,909.4328358,630.6100996,554.1861705,0.877761912,1150540.911,3146227.964,10000000,0,116000000,3417783.294,4710264.589,10000000,11,111000000,1688444.667,3760224.217,10000000,0,0,0,0,0,712,1348,0.301192813,0.576569099,0,1380,625.2330097,650.5334795,423193.8079,0,0,1,1,0,0,0,1,1,631.3627451,99.05714286,909.4328358,0,0,0,0,0,0,35,3467,67,60932,8192,7565,20,20,126397.1818,328313.1978,1116296,26696,10000000.0,2720.987668,10000000,10000000
3034,443,6,116451964,29,58,1783,49283,657,0,61.48275862,154.9266233,1380,0,849.7068966,643.4779951,438.5155754,0.74708916,1354092.605,3373739.22,10000000,0,116000000,4158998.714,4896576.955,10100000,14,112000000,1956914.561,3986480.156,10100000,0,0,0,0,0,592,1168,0.24902972,0.49805944,0,1380,580.2954545,648.8368755,420989.291,0,0,1,1,0,0,0,1,2,586.9655172,61.48275862,849.7068966,0,0,0,0,0,0,29,1783,58,49283,8192,5881,17,20,135816.0909,346947.9569,1181182,26498,10000000.0,1436.730037,10000000,10000000
3035,443,6,116554129,29,37,2068,19549,440,0,71.31034483,150.8234785,1380,0,528.3513514,617.9273248,185.4674749,0.566260505,1793140.446,3792267.07,10000000,0,117000000,4162647.464,4906412.395,10000000,13,111000000,3085237.056,4672798.475,10000000,0,0,0,0,0,592,748,0.248811434,0.317449071,0,1380,322.641791,520.5566572,270979.2334,0,0,1,1,0,0,0,1,1,327.530303,71.31034483,528.3513514,0,0,0,0,0,0,29,2068,37,19549,8192,6166,18,20,93365.08333,229373.3334,821721,26542,9619477.917,1310442.384,10000000,5458708
3036,443,6,115409024,23,24,1729,10404,741,0,75.17391304,198.3414531,1460,0,433.5,617.6999412,105.1304272,0.407247184,2508891.826,4309494.652,10000000,1,115000000,5245864.727,4986643.703,10000000,20,110000000,4798325.522,5107136.082,10000000,1,0,0,0,0,472,624,0.199291175,0.207956009,0,1460,252.7708333,488.4720092,238604.9038,0,0,1,1,0,0,0,1,1,258.1489362,75.17391304,433.5,0,0,0,0,0,0,23,1729,24,10404,8192,1039,16,20,31472.0,70615.59568,255704,10715,9585945.0,1432832.593,10000000,5036332
3037,443,6,115409626,37,102,1787,119809,806,0,48.2972973,166.7477911,1460,0,1174.598039,554.1325441,1053.603622,1.204405601,836301.6377,2740573.56,10000000,0,115000000,3205822.944,4653287.556,10000000,16,110000000,1093622.248,3134832.694,10000000,0,0,0,0,0,752,2184,0.320597174,0.883808427,0,1460,868.5428571,695.3944626,483573.4586,0,0,1,1,0,0,0,1,2,874.7913669,48.2972973,1174.598039,0,0,0,0,0,0,37,1787,102,119809,8192,1047,16,20,36687.0,84583.73209,291714,10748,10000000.0,2063.09575,10000000,10000000
3038,443,6,115410065,30,60,2430,59780,824,0,81.0,212.5704751,1460,0,996.3333333,655.4055457,539.0344421,0.779827999,1296742.303,3330491.929,10000000,0,115000000,3979657.414,4887702.057,10000000,14,110000000,1871873.525,3932599.49,10000000,0,0,0,0,0,612,1344,0.259942666,0.519885332,0,1460,683.6263736,698.2793877,487594.1033,0,0,1,1,0,0,0,1,2,691.2222222,81.0,996.3333333,0,0,0,0,0,0,30,2430,60,59780,8192,1101,17,20,34725.90909,76703.34062,265934,10705,10000000.0,2953.343815,10000000,10000000
3039,443,6,115410487,38,106,2305,128271,707,0,60.65789474,178.4629989,1460,0,1210.103774,512.6723994,1131.404982,1.247720235,807066.3427,2696737.024,10000000,0,115000000,3119202.351,4619288.263,10000000,14,110000000,1051665.305,3081249.797,10000000,0,0,0,0,0,772,2264,0.329259507,0.918460729,0,1460,900.5241379,679.8185837,462153.3067,0,0,1,1,0,0,0,1,2,906.7777778,60.65789474,1210.103774,0,0,0,0,0,0,38,2305,106,128271,8192,1079,17,20,33801.54545,75327.37706,260920,10744,10000000.0,2060.71387,10000000,10000000
