index,type,operation,amount,balance,bank,k_symbol
15,CREDIT,TRANSFER FROM ACCOUNT,5123.0,5923.0,YZ,DUCHOD
24,CREDIT,TRANSFER FROM ACCOUNT,5298.0,5698.0,UV,DUCHOD
46,CREDIT,TRANSFER FROM ACCOUNT,6007.0,6607.0,MN,DUCHOD
49,CREDIT,TRANSFER FROM ACCOUNT,6207.0,7107.0,YZ,DUCHOD
53,CREDIT,TRANSFER FROM ACCOUNT,6434.0,7234.0,OP,DUCHOD
59,CREDIT,TRANSFER FROM ACCOUNT,4276.0,4976.0,UV,DUCHOD
61,CREDIT,TRANSFER FROM ACCOUNT,5009.0,5209.0,AB,DUCHOD
63,CREDIT,TRANSFER FROM ACCOUNT,5718.0,6218.0,UV,DUCHOD
68,CREDIT,TRANSFER FROM ACCOUNT,4470.0,4870.0,CD,DUCHOD
203,CREDIT,TRANSFER FROM ACCOUNT,5123.0,11067.5,YZ,DUCHOD
209,CREDIT,TRANSFER FROM ACCOUNT,5224.0,6024.0,CD,DUCHOD
210,CREDIT,TRANSFER FROM ACCOUNT,5029.0,5429.0,UV,DUCHOD
211,CREDIT,TRANSFER FROM ACCOUNT,6238.0,7338.0,UV,DUCHOD
224,CREDIT,TRANSFER FROM ACCOUNT,5859.0,6159.0,GH,DUCHOD
230,CREDIT,TRANSFER FROM ACCOUNT,4356.0,4656.0,GH,DUCHOD
231,CREDIT,TRANSFER FROM ACCOUNT,6689.0,7589.0,ST,DUCHOD
233,ISSUE,TRANSFER TO ACCOUNT,9612.0,80033.7,EF,SIPO
235,CREDIT,TRANSFER FROM ACCOUNT,5039.0,5439.0,MN,DUCHOD
237,CREDIT,TRANSFER FROM ACCOUNT,4212.0,4912.0,WX,DUCHOD
243,CREDIT,TRANSFER FROM ACCOUNT,5298.0,11015.1,UV,DUCHOD
248,CREDIT,TRANSFER FROM ACCOUNT,5544.0,6044.0,GH,DUCHOD
284,CREDIT,TRANSFER FROM ACCOUNT,6242.0,6742.0,AB,DUCHOD
296,CREDIT,TRANSFER FROM ACCOUNT,6007.0,12633.5,MN,DUCHOD
308,CREDIT,TRANSFER FROM ACCOUNT,6207.0,13334.1,YZ,DUCHOD
311,CREDIT,TRANSFER FROM ACCOUNT,4758.0,4958.0,GH,DUCHOD
322,CREDIT,TRANSFER FROM ACCOUNT,6310.0,7010.0,KL,DUCHOD
325,CREDIT,TRANSFER FROM ACCOUNT,6434.0,13687.4,OP,DUCHOD
330,CREDIT,TRANSFER FROM ACCOUNT,4276.0,9265.4,UV,DUCHOD
335,CREDIT,TRANSFER FROM ACCOUNT,4327.0,5427.0,AB,DUCHOD
336,CREDIT,TRANSFER FROM ACCOUNT,6698.0,7598.0,YZ,DUCHOD
342,CREDIT,TRANSFER FROM ACCOUNT,5009.0,10231.3,AB,DUCHOD
345,CREDIT,TRANSFER FROM ACCOUNT,4729.0,5429.0,AB,DUCHOD
346,CREDIT,TRANSFER FROM ACCOUNT,5718.0,11951.9,UV,DUCHOD
360,CREDIT,TRANSFER FROM ACCOUNT,6148.0,7248.0,CD,DUCHOD
361,CREDIT,TRANSFER FROM ACCOUNT,4470.0,9362.9,CD,DUCHOD
609,CREDIT,TRANSFER FROM ACCOUNT,5123.0,16215.2,YZ,DUCHOD
611,CREDIT,TRANSFER FROM ACCOUNT,4807.0,5307.0,OP,DUCHOD
620,CREDIT,TRANSFER FROM ACCOUNT,5224.0,11248.0,CD,DUCHOD
621,CREDIT,TRANSFER FROM ACCOUNT,4203.0,4703.0,OP,DUCHOD
622,CREDIT,TRANSFER FROM ACCOUNT,5029.0,10458.0,UV,DUCHOD
623,CREDIT,TRANSFER FROM ACCOUNT,6238.0,13576.0,UV,DUCHOD
632,CREDIT,TRANSFER FROM ACCOUNT,4718.0,5218.0,OP,DUCHOD
636,ISSUE,TRANSFER TO ACCOUNT,1591.0,49952.9,WX,unknown
638,CREDIT,TRANSFER FROM ACCOUNT,6388.0,6988.0,YZ,DUCHOD
