index,type,operation,amount,balance,bank,k_symbol,anomaly
0,ISSUE,TRANSFER TO ACCOUNT,8520.0,81428.0,CD,unknown,0
1,ISSUE,TRANSFER TO ACCOUNT,8167.0,68157.0,CD,unknown,0
2,ISSUE,TRANSFER TO ACCOUNT,7758.0,79300.0,CD,unknown,0
3,ISSUE,TRANSFER TO ACCOUNT,6033.0,73736.0,CD,unknown,0
4,ISSUE,TRANSFER TO ACCOUNT,8292.0,79907.0,CD,unknown,0
5,ISSUE,TRANSFER TO ACCOUNT,1248.0,47296.0,CD,unknown,0
6,ISSUE,TRANSFER TO ACCOUNT,327.0,34398.0,CD,unknown,0
7,ISSUE,TRANSFER TO ACCOUNT,2570.0,41455.0,CD,unknown,0
8,ISSUE,TRANSFER TO ACCOUNT,1.0,27398.0,CD,unknown,0
9,ISSUE,TRANSFER TO ACCOUNT,1.0,36528.0,CD,unknown,0
10,ISSUE,TRANSFER TO ACCOUNT,1088.0,41977.0,CD,unknown,0
11,ISSUE,TRANSFER TO ACCOUNT,1.0,24154.0,CD,unknown,0
12,ISSUE,TRANSFER TO ACCOUNT,1.0,19001.0,CD,unknown,0
13,ISSUE,TRANSFER TO ACCOUNT,1.0,23410.0,CD,unknown,0
14,ISSUE,TRANSFER TO ACCOUNT,10928.0,76332.0,EF,unknown,0
15,ISSUE,TRANSFER TO ACCOUNT,9502.0,62077.0,EF,unknown,0
16,ISSUE,TRANSFER TO ACCOUNT,6449.0,53979.0,CD,SIPO,0
17,ISSUE,TRANSFER TO ACCOUNT,10624.0,72710.0,EF,unknown,0
18,ISSUE,TRANSFER TO ACCOUNT,7639.0,49219.0,CD,SIPO,0
19,ISSUE,TRANSFER TO ACCOUNT,8658.0,49293.0,CD,SIPO,0
20,ISSUE,TRANSFER TO ACCOUNT,9404.0,56616.0,EF,unknown,0
21,ISSUE,TRANSFER TO ACCOUNT,8015.0,56687.0,EF,unknown,0
22,ISSUE,TRANSFER TO ACCOUNT,8707.0,85675.0,EF,unknown,0
23,ISSUE,TRANSFER TO ACCOUNT,7395.0,73375.0,EF,unknown,0
24,ISSUE,TRANSFER TO ACCOUNT,6431.0,25119.0,CD,SIPO,0
25,ISSUE,TRANSFER TO ACCOUNT,9537.0,63251.0,EF,unknown,0
26,ISSUE,TRANSFER TO ACCOUNT,6708.0,44619.0,CD,SIPO,0
27,ISSUE,TRANSFER TO ACCOUNT,4415.0,54647.0,EF,unknown,0
28,ISSUE,TRANSFER TO ACCOUNT,5112.0,35849.0,CD,SIPO,0
29,ISSUE,TRANSFER TO ACCOUNT,8437.0,48175.0,CD,SIPO,0
30,ISSUE,TRANSFER TO ACCOUNT,5894.0,39741.0,CD,SIPO,0
31,ISSUE,TRANSFER TO ACCOUNT,9111.0,85775.0,EF,unknown,0
32,ISSUE,TRANSFER TO ACCOUNT,7973.0,49001.0,CD,SIPO,0
33,ISSUE,TRANSFER TO ACCOUNT,4950.0,47034.0,EF,unknown,0
34,ISSUE,TRANSFER TO ACCOUNT,11028.0,59719.0,EF,unknown,0
35,ISSUE,TRANSFER TO ACCOUNT,13768.0,64352.0,EF,unknown,0
36,ISSUE,TRANSFER TO ACCOUNT,7368.0,53673.0,CD,SIPO,0
37,ISSUE,TRANSFER TO ACCOUNT,8768.0,84421.0,EF,unknown,0
38,ISSUE,TRANSFER TO ACCOUNT,9789.0,56310.0,CD,SIPO,0
39,ISSUE,TRANSFER TO ACCOUNT,8629.0,43294.0,CD,SIPO,0
40,ISSUE,TRANSFER TO ACCOUNT,5535.0,51532.0,EF,unknown,0
